"HOOD ID","HOOD NAME","Total % In LIM-AT"
1,"West Humber-Clairville",15.8
2,"Mount Olive-Silverstone-Jamestown",27.8
3,"Thistletown-Beaumond Heights",17.8
4,"Rexdale-Kipling",18.7
5,"Elms-Old Rexdale",23.3
6,"Kingsview Village-The Westway",24.9
7,"Willowridge-Martingrove-Richview",15.1
8,"Humber Heights-Westmount",15.2
9,"Edenbridge-Humber Valley",9
10,"Princess-Rosethorn",7.4
11,"Eringate-Centennial-West Deane",9.7
12,"Markland Wood",8.3
13,"Etobicoke West Mall",18.4
14,"Islington-City Centre West",15.8
15,"Kingsway South",4.7
16,"Stonegate-Queensway",11.6
17,"Mimico (includes Humber Bay Shores)",18.1
18,"New Toronto",24.8
19,"Long Branch",17.5
20,"Alderwood",8.2
21,"Humber Summit",20
22,"Humbermede",22.5
23,"Pelmo Park-Humberlea",11.6
24,"Black Creek",33
25,"Glenfield-Jane Heights",25.7
26,"Downsview-Roding-CFB",19.3
27,"York University Heights",24.3
28,"Rustic",31.6
29,"Maple Leaf",15
30,"Brookhaven-Amesbury",24.6
31,"Yorkdale-Glen Park",16.8
32,"Englemount-Lawrence",20.8
33,"Clanton Park",15
34,"Bathurst Manor",17.1
35,"Westminster-Branson",24.4
36,"Newtonbrook West",26.3
37,"Willowdale West",27.2
38,"Lansing-Westgate",17.7
39,"Bedford Park-Nortown",9.4
40,"St.Andrew-Windfields",16
41,"Bridle Path-Sunnybrook-York Mills",8.8
42,"Banbury-Don Mills",13.7
43,"Victoria Village",26
44,"Flemingdon Park",34.7
45,"Parkwoods-Donalda",20.6
46,"Pleasant View",17.5
47,"Don Valley Village",23.5
48,"Hillcrest Village",21.9
49,"Bayview Woods-Steeles",18.5
50,"Newtonbrook East",27.4
51,"Willowdale East",30.3
52,"Bayview Village",23.7
53,"Henry Farm",29.6
54,"O'Connor-Parkview",22.6
55,"Thorncliffe Park",45.5
56,"Leaside-Bennington",6.9
57,"Broadview North",22.7
58,"Old East York",13.6
59,"Danforth-East York",13.7
60,"Woodbine-Lumsden",15.2
61,"Taylor-Massey",33
62,"East End-Danforth",18.8
63,"The Beaches",9.3
64,"Woodbine Corridor",15.7
65,"Greenwood-Coxwell",19.8
66,"Danforth",14
67,"Playter Estates-Danforth",13.7
68,"North Riverdale",11.1
69,"Blake-Jones",24.6
70,"South Riverdale",18.8
71,"Cabbagetown-South St. James Town",20.8
72,"Regent Park",43.2
73,"Moss Park",32.2
74,"North St. James Town",36.5
75,"Church-Yonge Corridor",25.9
76,"Bay Street Corridor",37.7
77,"Waterfront Communities-The Island",16.5
78,"Kensington-Chinatown",33.2
79,"University",22.8
80,"Palmerston-Little Italy",13.8
81,"Trinity-Bellwoods",14.7
82,"Niagara",13.8
83,"Dufferin Grove",17.9
84,"Little Portugal",15.7
85,"South Parkdale",30.4
86,"Roncesvalles",20
87,"High Park-Swansea",11.2
88,"High Park North",16.5
89,"Runnymede-Bloor West Village",6.7
90,"Junction Area",13.3
91,"Weston-Pellam Park",20.5
92,"Corso Italia-Davenport",13.5
93,"Dovercourt-Wallace Emerson-Junction",17.1
94,"Wychwood",16.6
95,"Annex",18.3
96,"Casa Loma",12.7
97,"Yonge-St.Clair",12.9
98,"Rosedale-Moore Park",10.2
99,"Mount Pleasant East",10.3
100,"Yonge-Eglinton",12
101,"Forest Hill South",10.5
102,"Forest Hill North",15.4
103,"Lawrence Park South",7.3
104,"Mount Pleasant West",20.9
105,"Lawrence Park North",6.8
106,"Humewood-Cedarvale",15.6
107,"Oakwood Village",18.5
108,"Briar Hill - Belgravia",17
109,"Caledonia-Fairbank",14.2
110,"Keelesdale-Eglinton West",18.1
111,"Rockcliffe-Smythe",22.7
112,"Beechborough-Greenbrook",28.9
113,"Weston",29.9
114,"Lambton Baby Point",18.5
115,"Mount Dennis",25.4
116,"Steeles",21.1
117,"L'Amoreaux",23.7
118,"Tam O'Shanter-Sullivan",23.7
119,"Wexford/Maryvale",19.2
120,"Clairlea-Birchmount",19.5
121,"Oakridge",43
122,"Birchcliffe-Cliffside",14.5
123,"Cliffcrest",18
124,"Kennedy Park",26.3
125,"Ionview",23.4
126,"Dorset Park",22.3
127,"Bendale",23.5
128,"Agincourt South-Malvern West",22.6
129,"Agincourt North",21.5
130,"Milliken",22.1
131,"Rouge",9.5
132,"Malvern",20.5
133,"Centennial Scarborough",6.3
134,"Highland Creek",10.6
135,"Morningside",23.8
136,"West Hill",25.2
137,"Woburn",27.3
138,"Eglinton East",26.1
139,"Scarborough Village",32.7
140,"Guildwood",7.8
